key,author,date,stars,title,helpful_yes,helpful_no,text
0_breyers,LABEL READER,2020-04-17,2,EVER INCREASING INGEDIENTS LIST.,81,3,"Not the long ago Breyers set itself apart from other brands by using ONLY MILK, CREAM, SUGAR, and VANILLA in it's Vanilla ice cream. They went so far as to have TV commercials with children reading the ver very simple label. Now they show similar comercials stating the Breyers is made WITH those ingredients but no longer ONLY WITH. Read the label for yourself. The ice cream is still good but the longer ingrediants list ant the missing word ""ONLY"" hasn't gone unnoticed despite the attempt to gloss over the corporate decision to move away from the one distinctive characteristic that set the Breyers brand apart from the others."
0_breyers,AK in WA,2020-06-09,1,This is NO LONGER the Breyers We Used to Know,94,2,"I must agree with many one-star ratings here. The main beef is the huge change in your formula/ingredients. It's always been Breyers. When I first moved to the west coast, there was no Breyers, so I did not eat ice cream for several years. Then it's here ... in the past several years I've noticed: a) it no longer stays frozen long enough to eat it; b) when it melts, it forms into a scary gummy mess. Breyers used to melt and turn back into cream and milk basically. Why on earth would you decide to take a once delicious natural treat and load it up with a boatload of nasty chemicals that have RUINED YOUR PRODUCT?"
0_breyers,wing18,2020-09-29,2,Not as good as the natural they used to make!!,72,3,"This natural vanilla ice cream is not nearly as good as it used to be and I don't care for it any longer. Breyers needs to remove the vegetable gum from this ice cream in order for me to purchase this again. I do not like the texture that the vegetable gum gives to the ice cream. My local Pennsylvania Turkey Hill brand ice cream offers an all natural ice cream that is so much better than this version from Breyers. They do not put any fillers in their ice cream at all!!
I do not think that the quality of Breyers ice cream is bad by any means but not nearly as good as it could be if they used all natural ingredients.
Breyers, start making an all natural ice cream and I'll start buying your products again.
Sorry, but I'm just being honest."
0_breyers,sabrinas,2018-07-08,1,Better before,421,19,"Breyers natural vanilla used to be my holy Grail of ice cream. I believe I sent a laudatory email in 2003 or 2004 to specifically thank the company for their beautifully simple ingredients, and for not using stabilizers or emulsifiers since I find they give ice cream a strange mouth texture.
Imagine my disappointment when Breyers changed their formula to include stabilizers and consist of half air, and offer no product line like the original.
Imagine my irritation at seeing a Breyers commercial right now bragging about using real vanilla bean and their real, natural ingredients in ice cream. I came to check the ingredients list to see if I could start buying Breyers again, but you still list vegetable gum.
It's been years now, but you ruined my favorite ice cream, and despite the movement to real food, you haven't fixed it."
0_breyers,Scootonout,2018-09-27,1,Very disappointed,36,0,Bryers vanilla was the only ice cream I would eat. I loved the simple real ingredients and non chemical taste. However much to my dismay I had some ice cream tonight only to find that it was the equivalent to that of a Walmart generic ice cream. The ice cream is completely Flavorless too sugary and now has corn syrup and guar gum in it. . I won’t be buying this ice cream ever again!!! So much for being all natural. Who wants corn syrup in their food!
0_breyers,Donut,2019-01-11,1,"CORN SYRUP, TRANS FATS",141,9,"Breyers has changed their formula (natural vanilla). There are now 11 ingredients, not 5. The 4th ingredient is CORN SYRUP and there is also the addition of the cheap trans fat hidden ingredient, monoglycerides and diglycerides. Truly a disappointment since for decades BREYERS prided themselves on Pure and Simple ingredients. I see on there website, they still are. Look at the ingredients though. I will no longer buy their products. Dr. Donna~"
0_breyers,Jrad,2019-04-21,1,Very disappointed,75,1,"I noticed that the “Natural Vanilla” tastes different lately. I read the ingredients tonight’s and saw that Vegetable Gum is now one of the ingredients. There are other natural ice creams on the market that only use cream, sugar and vanilla. I will never purchase Bryers again unless you go back to using only natural and simple ingredients. Very disappointed."
0_breyers,JaretH,2018-09-03,2,They've ruined it.,22,0,"The flavor, texture and quality of Breyer's Natural Vanilla has declined remarkably over the past several years. Natural Vanilla was one of my family's favorites. While still good, it is no longer great. I find myself testing other brands in search of another ice cream that is similar to what Natural Vanilla used to be. I'm guessing the bean counters have worked their statistical wizardry, but it was never about price for my family."
0_breyers,Sigi1,2017-10-30,1,Almost all too creamy!,84,3,"Have been buying Bryers for 50 years but lately the taste has changed dramatically. Too creamy and gummy. I have tried all your vanilla varieties. They melt too quickly too. The Natural Vanilla seems closest to what ice cream used to be. Do not even want to finish an opened carton of Cherry Vanila I just bought. The ""ice"" part is gone; only some sweet gummy cream sauce is left."
0_breyers,sharon50,2018-06-11,1,,0,0,"If I could give it a 0-0 I will give it one, which ice cream is the most disgusting nasty ice cream ever tasted it tastes like it has chemicals in it oh my gosh is horrible, I have the Pint that's like 330 calories for the whole pint I definitely don't recommend it like I said his nasty disgusting horrible I don't know what they did to it it just tastes so nasty I feel sick what they took out Breyers Cookies & Cream delights t of it, or put in it but I will never buy this disgusting nasty horrible
ever buy I recommend this to no one"
0_breyers,Kreepykelly,2018-08-12,5,So fresh and smooth!,53,32,"After trying Bryers Natural Vanilla Ice Cream I can say that it is so smooth, creamy and natural tasting its the only Vanilla ice cream ill buy anymore. Nothing about Bryers Natural Vanilla tastes artificial. It scoops easily from the first to the very last. Not overly sweetened, it leaves a fresh, clean feeling on your tongue that will have you wanting more. Its hard to practice moderation with an ice cream as perfect as this. The packaging is easily readable so you know what youre getting. The only downside to Bryers Natural Vanilla ice cream is that it doesnt come in a bottomless size!"
0_breyers,CraigK,2018-07-26,1,Major disappointment.,45,2,"This used to be the best vanilla ice cream on the planet. Now it's just inedible. I threw out an entire half gallon (CORRECTION: 1.5 quarts since the reduced the package size). This ice cream now has a chewy texture that is quite unpleasant. I've searched high and low for a natural vanilla bean ice cream that is the way Breyers used to be and I finally found Turkey Hill Vanilla Bean. Praise the lord, I'm saved."
0_breyers,FormerFan,2019-02-05,1,What did you do to my favorite vanilla ice cream?,23,0,"Breyers vanilla was once great. I remember when it would melt away on the palate, nothing but cream, milk and vanilla extract (with the vanilla bean flecks throughout). Now it's artificially enhance to make it ""creamy"" with gum, etc, leaving foam and an aftertaste. Yuck! I guess like so many things, it was too good. Maybe it's cheaper to produce now. Why couldn't it have been left as it was - perfect?"
0_breyers,meadowlynne,2020-08-16,1,What have you done to your ice cream?!!!,35,0,"I have literally bragged to everyone and even got people to convert to the best ice cream on the planet for as long as I can remember. I loved the snowy texture of the ice cream. It made it stand apart from all the rest. Especially the mint chip and vanilla bean! Now all the vanilla ice creams taste gummy and overly sweet. The texture is weird like a froth on the top of a latte only not in a good way. The biggest difference in the products is the added corn syrup. The reason we always turned to Breyers was to avoid it, not just because our family not doing well with it but because it's wayyy too sweet like its competitors.
PLEASE FIX YOUR ICE CREAM!!!!! Vow to get rid of the corn syrup from all your non commercial cookie and candy ice creams and with those to not add any to the actual ice cream. We've been loyal and we deserve our good stuff.
Here's a big one PLEASE do not use peanut ingredients in things that don't have peanuts! PLEASE remove it from the Rocky Road that I used to love and enjoy!"
0_breyers,castilloa,2020-08-16,1,The original was much better.,40,0,"I my whole family loved Breyers when I was a kid. The flavor and consistency was unique. Now with the added tara gum, it's too soft and watery. A shame that changed the recipe."
0_breyers,David,2019-09-06,1,Bummer,5,0,"Our family has been enjoying Breyers Natural Vanilla ice cream for years, and truly loved every single bowl. The past 2 purchases of this product tasted very much like glue, so unfortunately we just can't buy any more - we threw the last one in away. Very sad to see this amazing product spiral into the dirt. If your tasting experts and product team found this to be an improvement, then they didn't do a proper survey of existing customers. We'll be looking for another brand, or asking our grocery store manager to add a Natural Ice Cream product."
0_breyers,rjrj,2017-07-19,3,breyers natural vanilla,73,4,used to be my very favorite vanilla ice cream. tasted the most like homemade without the fuss. now it has tara gum that gives it that gummy cheap store brand mouth feel and i may as well just by the cheaper brands.
0_breyers,jkmorris101,2018-08-28,1,Not the same as before,27,0,"I used to swear by the Natural Vanilla as the best ice cream, but not anymore!!! What a shame. Typical corporate move to increase profits at the cost of the quality of the product. No my Bryer's for me."
0_breyers,Real Ingredients,2018-09-02,1,Awful money grubbing company,30,1,"You ruined Breyer's ice cream with your gums, corn syrup, and cheap ingredients. Breyer's was one of my best food experiences in childhood and you destroyed it. Go back to simple ingredients, money hungry goblins. Why isn't ""ingredients"" in your list of ""what influences your purchase""?"
0_breyers,jh47,2018-08-16,1,Still fake,23,1,"Really disappointed...At Breyers growing up but I quit awhile. I decided to try it again after they touted Milk, Cream and Sugar but the taste and texture isn't ice cream......more like a warm version of thickening....ice cream shouldn't be light and fluffy.....it should be heavy and cold enough to give you a brain freeze...... not buying it again."
0_breyers,Poetic Justice,2018-06-24,1,Not Natural,32,1,What happened to the plain pure ingredients that made this the optimum choice for ice cream. Why have you change the receipt of such a great product? I will have to start making my own ice cream.
0_breyers,arturo6,2018-05-31,1,Addition of Gum,34,1,"The problem with Breyers, since purchased by a Canadian company, is the addition of gums to their icecream. I stopped purchasing once this was aded."
